,№,Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
0,1,English,English,en,6660212,58238185,1152393193,905,45607779,123675,903734,1186
1,2,Cebuano,Cebuano,ceb,6123377,11226414,35003707,5,103218,169,0,2
2,3,German,Deutsch,de,2803851,7737584,232510599,181,4154633,17843,127618,93
3,4,Swedish,svenska,sv,2563895,6172401,52844840,67,867264,2143,0,16
4,5,French,français,fr,2524649,12581412,204158910,150,4666516,18738,70979,257
5,6,Dutch,Nederlands,nl,2123223,4535882,64202453,35,1278157,3920,20,18
6,7,Russian,русский,ru,1917836,7697130,130371272,72,3393208,10733,243555,153
7,8,Spanish,español,es,1864869,7913453,150985397,58,6856051,15581,0,200
8,9,Italian,italiano,it,1811987,7725677,133379232,121,2386651,8353,132010,183
9,10,Egyptian Arabic,مصرى,arz,1617741,2072343,8143598,7,211097,213,1481,0
10,11,Polish,polski,pl,1569124,3616001,70258426,99,1239368,4214,260,33
11,12,Japanese,日本語,ja,1374983,4047751,95159086,42,2074913,14260,5186,88
12,13,Chinese,中文,zh,1356475,7395401,77117647,66,3350975,8168,63633,206
13,14,Vietnamese,Tiếng Việt,vi,1283562,19421578,69984613,18,911432,1952,25666,719
14,15,Waray,Winaray,war,1266150,2870598,6430731,3,55494,76,42,3
15,16,Ukrainian,українська,uk,1265286,4392423,39487773,48,690978,3858,112032,54
16,17,Arabic,العربية,ar,1206765,8106373,62475153,21,2425897,4930,51823,251
17,18,Portuguese,português,pt,1103922,5520133,65755329,52,2921714,8798,59637,190
18,19,Persian,فارسی,fa,963741,5509583,37133693,36,1221426,5799,85507,149
19,20,Catalan,català,ca,728103,1816937,31693802,30,450496,1258,12532,39
20,21,Serbian,српски / srpski,sr,671143,4026157,25724520,17,327622,1076,37996,159
21,22,Indonesian,Bahasa Indonesia,id,648758,3530297,23548603,44,1407618,3261,47424,131
22,23,Korean,한국어,ko,635585,3080541,34887338,28,787818,1651,13146,167
23,24,Norwegian,norsk,no,611109,1752285,23528255,42,581766,1175,4,46
24,25,Chechen,нохчийн,ce,599799,1188444,9902276,3,33840,46,324,8
25,26,Finnish,suomi,fi,553431,1449027,21527753,33,546132,1683,72764,38
26,27,Hungarian,magyar,hu,525753,1506687,26083664,25,533294,1571,8787,60
27,28,Czech,čeština,cs,524891,1468820,22791756,31,620865,2519,1,50
28,29,Turkish,Türkçe,tr,523619,2461254,29712920,19,1499798,3261,38982,165
29,30,Tatar,татарча / tatarça,tt,500201,782561,4070940,6,46719,100,6369,1
30,31,Serbo-Croatian,srpskohrvatski / српскохрватски,sh,458204,4648105,41412266,8,185642,176,10191,744
31,32,Romanian,română,ro,439814,2677364,15653781,17,618555,1111,117015,151
32,33,Min Nan Chinese,Bân-lâm-gú,zh-min-nan,432466,1067574,3169377,6,57636,88,335,6
33,34,Basque,euskara,eu,411669,862860,9282148,12,148591,678,0,12
34,35,Malay,Bahasa Melayu,ms,364971,1059908,5841853,16,314151,611,18979,19
35,36,Esperanto,Esperanto,eo,337236,750396,8093409,16,209779,323,14369,16
36,37,Hebrew,עברית,he,335114,1418309,36320934,32,1079794,3399,76344,267
